,会社名,仕事内容,勤務地,給与
0,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★安定基盤,＜業務マニュアル有・難しい仕事はありません＞医薬品/食品/家電/高級車など担当分野はあなたの希望にあわせてご紹介！梱包・検品業務を担当！,【転勤なし】全国40都道府県に配属！（全国各地に勤務地あり） <勤務地一覧> ■北海道 ■東北・北…,300万円～500万円
1,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,【北海道・九州・東北増員中】プロジェクトのスケジュール確認・問い合わせ対応などを担当。★土日休み・オフ充実★高収入も可能,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★北海道・東北・九州(沖縄含む)エリアのプロジェクト先 <…,350万円～500万円
2,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,【 平均月給43.4万円 】企業に向けて福利厚生制度を充実させるためのご提案を行います。,【転勤なし】全国の47都道府県の支社 ＜北海道・東北＞ 北海道、青森県、岩手県、宮城県、秋田県、山…,初任給 月給16万〜25万円＋諸手当(地域・能力により異なる) ※試用期間2ヶ月あり（条件変更なし） ＜＜ …
3,株式会社エム・シーネットワークスジャパン | 【銀座カラー】【大阪府緊急雇用対策に賛同】 年収例460万円♪,【ノルマなし／完全予約制★プロから学べる研修】脱毛サロンスタッフとして、お手入れのほかに受付や事務業務もお任せします。★『全身脱毛』無料！,★転勤なし 東京 東京都渋谷区:渋谷109前店 など 東京都港区:表参道店 東京都中央区:銀座本店…,300万円～500万円
4,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【年間休日127～190日・無理なく働ける！】 医薬品や半導体分野における生産ラインでの組み立て、加工、箱詰、在庫確認業務などを担当。,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,300万円～500万円
5,株式会社ファミリーコーポレーション | 『日本一お客様に信頼される不動産会社』を目指す成長企業,【不動産建築、賃貸経営、駐車場経営、売却など、多彩なソリューションを提案】土地オーナーさまのニーズに応じてベストな土地活用プランを提案します,＊--アクセス抜群！『新橋駅』から徒歩3分の好立地--＊ ☆転勤なし 東京都中央区銀座8-5-6…,420万円～1000万円
6,株式会社ライジングサンセキュリティーサービス | 人物重視★応募者全員と面接します！／20～60代活躍中★,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,★福島エリアの各施設または下記支社★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決…,300万円～600万円
7,株式会社TCG | 未経験者も経験者も稼げる♪【働く時間は12～18時の6時間ダケ】,【自由な時間もお金も想定以上の満足…!?】…土日休みの6時間勤務！売込む仕事ではなく、アポイントを取るだけの仕事なので未経験もすぐに稼げます！,【愛知（名古屋/一宮/春日井・小牧/岡崎/豊田/豊橋/知多半島等)・神奈川・埼玉・千葉・岐阜・三重…,400万円～1500万円
8,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／日払い可！◆,◆大手ネット通販の品物を、個人宅・企業へ配送します。★ご自身の理想のペースで稼げる環境です！ （※加盟金・違約金は不要です）,原則自由 【募集エリア】 東京・神奈川・埼玉・千葉・栃木・茨城・群馬・福島・富山・石川・新潟・長野…,300万円～1000万円
9,株式会社ファミリーコーポレーション | 『日本一お客様に信頼される不動産会社』を目指す成長企業,【「売る」ではなく「買う」営業】◆不動産仲介会社などから売却の情報収集を行い、不動産を仕入れる仕事★年3回、9連休前後の休暇有,＊--アクセス抜群！『新橋駅』から徒歩3分の好立地--＊ ☆転勤なし 東京都中央区銀座8-5-6…,420万円～1000万円
10,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】,【好きな地でライフプランを設計したい方にオススメ！】モクモク＆コツコツ作業が中心！★スキルや経験がなくても安心して始められるお仕事です！,転勤なし／全国40都道府県に配属 ☆社員寮あり(社宅費無料あり※一部住宅手当で支給・規定あり) <…,300万円～500万円
11,DSP株式会社 | ★土日休み ★完全週休2日 ★年間休日125日～130日,【裁量大きく、自由度高く活躍！】人材コーディネーターとして新規クライアントの拡大と登録スタッフ増員をお任せしていきます。,【東京・大阪・北海道・宮城・福岡のいずれかで勤務】 ★転勤なし！ 【本社】 東京都港区西新橋1-6…,350万円～1000万円
